word,count,pos,neg
plane,1798,1161,375
freshman,147,88,27
consciou,1223,840,184
qualitt,1579,932,357
gulab,527,366,73
muramoto,190,116,43
hotter,1774,1096,294
slid,615,220,278
swan,200,147,33
stuf,27775,20941,3034
dispos,801,364,278
familyrun,450,376,17
achiot,107,87,10
fall,15336,8665,3806
soen,148,85,39
oblivion,106,48,42
she,3789,1537,1738
malibu,243,148,52
lavish,276,205,38
been,4818,2859,1115
routin,1193,709,278
hold,15697,7686,5239
mud,422,255,93
mehr,3082,1284,1105
esslingen,134,93,26
contin,210,144,51
dahl,127,101,9
topi,157,87,37
file,1200,540,505
soul,4645,3157,902
eagl,687,344,218
mich,2459,1350,645
cluck,173,106,30
newcastl,145,91,24
loft,506,355,50
buttermilk,2274,1701,224
pretti,229610,125060,42464
valuei,108,70,12
samedi,138,91,22
sneak,1202,810,211
adult,8323,4748,2153
langsam,169,48,76
instruct,1599,687,654
handelt,133,69,36
topgolf,230,174,34
picasso,850,648,114
problemat,217,99,60
new,130799,84795,28295
tripl,3299,2142,631
dope,584,479,53
kritik,219,110,61
will,16394,9515,3946
durchschnitt,133,39,50
cava,234,185,24
burgerit,109,68,21
wer,994,623,214
veget,33010,19923,7329
serious,28301,16134,8838
shadysid,581,371,100
savoir,107,66,19
tune,2800,1868,394
euch,125,73,40
affabl,139,100,20
inexcus,499,35,396
complet,41418,17786,17562
heck,4829,2424,1648
freundlichkeit,171,85,43
rec,225,165,31
trigger,252,137,73
increas,3041,1272,983
frickin,423,288,87
visiti,331,184,73
dug,1397,860,316
digniti,172,80,76
reconsid,522,179,243
exprienc,420,257,91
whyth,199,84,77
toow,379,308,34
target,1383,743,333
permeat,389,223,113
per,21594,11745,5445
deliciousthi,157,141,5
emphasi,862,550,141
robbi,202,155,23
putrid,113,13,91
thinnest,191,56,102
kebob,551,367,80
cristo,812,587,109
steakburg,232,157,29
pronounc,1427,955,237
gp,784,570,117
roomi,1195,839,130
appetizersth,101,63,16
mmmmmmmm,157,146,4
scoot,208,99,69
couldnt,2573,1047,1139
costum,1428,714,546
crown,1431,931,229
unknowingli,144,78,45
save,23880,10909,9348
shop,44191,31181,6093
stun,2306,1571,435
cool,56936,38073,8407
revieww,156,82,47
accid,2421,1576,558
gain,1483,971,293
etouff,105,81,14
guestlist,210,81,68
chineseamerican,130,79,20
smore,2111,1638,160
itther,264,154,68
dodg,370,172,128
need,135812,71489,38280
frick,176,93,64
mcclintock,138,86,31
symphoni,441,358,43
ambul,103,34,58
phad,311,200,71
yumi,355,314,14
unenthusiast,195,30,112
jolt,129,85,24
gingeri,221,153,19
onward,201,118,40
camelback,1281,871,255
explicitli,205,63,113
emul,154,85,33
paramount,371,168,139
anthem,521,346,115
thimbl,144,32,86
car,16309,8669,5106
bingsoo,138,125,4
charmant,211,165,15
e,3913,2434,812
pedal,107,71,20
japanesestyl,117,81,10
thigh,1690,946,406
yogurt,5682,3902,840
poo,258,102,116
liegt,659,444,103
edgar,149,118,17
kingdom,120,85,21
kaka,130,73,25
mi,6874,4820,905
disappointedi,384,170,162
cici,395,187,114
ike,296,216,46
hurriedli,122,30,78
studi,3119,2266,363
mozzarella,11432,7924,1756
fiasco,367,86,210
showth,109,71,18
enclos,697,463,111
getrnken,191,111,34
soit,482,296,88
lcheln,104,60,23
law,3465,1763,1216
implor,109,66,31
hai,229,132,44
sandwhich,2336,1526,484
italien,624,448,97
kothu,135,106,17
howeverth,129,53,34
baffl,718,207,396
men,6135,3230,1730
flop,806,330,316
thatd,200,91,63
matur,646,378,145
wirkt,395,200,104
naka,116,79,22
ye,45733,28123,10656
shisha,549,229,206
aufgefallen,112,62,27
speaker,1731,748,655
stomach,12583,5977,4791
urgent,137,34,82
audibl,248,106,102
venetian,3706,2421,587
strict,860,464,227
eben,526,296,113
upth,612,311,167
mint,7181,5173,933
moussaka,413,282,59
wellit,317,187,64
uncompl,125,87,20
scissor,219,137,49
awaken,195,129,43
neil,296,200,55
metro,2276,1524,438
slipper,132,79,27
grudg,110,54,37
build,19204,12526,3367
cochon,382,304,41
caveman,134,96,15
kein,3346,1512,1094
korma,1111,838,137
abalon,250,165,30
gulf,282,204,40
ridden,130,66,45
overmedium,114,71,21
puri,441,287,84
wayyy,415,162,158
bot,176,108,30
inexperi,114,47,37
steak,123385,75848,27242
barrio,1370,806,361
bim,512,355,50
downsiz,148,61,49
fad,332,131,111
they,24624,15913,4582
expedi,163,110,28
sushimon,188,112,43
monthli,1102,842,141
frankli,3229,1263,1316
platter,18807,12690,2948
mouthwateringli,142,129,5
cuba,231,164,33
shuck,819,535,152
bookstor,175,125,22
market,14872,9701,2692
standoffish,230,98,66
tsoynami,233,211,11
champagn,5642,3877,908
ahem,402,278,45
rage,659,343,170
agoi,156,98,41
mischung,108,93,3
plop,833,282,391
wafer,486,333,76
artichok,7256,4975,1038
broadway,433,320,58
runofthemil,483,255,94
adelaid,226,156,34
egg,105561,66024,20879
opera,554,385,68
demiglac,109,86,8
calmar,114,78,15
affili,397,200,131
curbsid,261,136,83
mustard,11028,7054,1949
rachel,1232,906,177
elsewher,12093,3329,6067
attitud,16965,4258,10414
wall,31114,20553,5235
kentucki,427,303,63
stranger,1671,1017,374
gems,718,411,126
fuck,3691,1201,2099
semest,180,128,23
haupia,141,111,19
ii,535,359,95
brugg,241,207,21
swear,4558,2604,1234
draw,3841,2171,789
mushi,6810,1914,3321
unwil,333,56,232
kway,135,114,11
glisten,262,160,59
greatif,135,89,16
midafternoon,326,204,54
swanki,1095,780,124
dishearten,217,58,115
harvey,584,273,156
nowi,347,229,73
curri,45591,31664,6097
rung,331,86,194
crow,571,325,125
slection,211,159,13
nob,156,101,32
margarita,26608,16698,5445
sprint,154,86,43
funniest,205,129,56
akron,339,238,58
barcelona,273,165,61
yesi,183,115,36
incas,174,98,44
carraba,164,82,61
lu,109,65,21
fianc,8906,5569,2197
moment,12263,7695,2975
selbstgemacht,133,94,14
unrecogniz,185,36,131
sopapilla,616,429,85
thatoveral,131,63,20
bourdain,426,320,53
floor,24897,12124,7923
amaretto,459,323,55
summari,1519,630,511
zucca,158,109,9
runway,119,80,22
referr,178,110,53
outw,370,200,115
granni,424,303,48
stupidli,287,121,114
phase,516,299,126
voucher,2536,947,1096
byblo,162,128,18
weeki,159,111,25
tryst,235,135,48
unfold,175,96,61
apprci,176,108,18
vaca,112,80,20
japanisch,121,96,15
bri,155,104,34
sambar,362,205,96
unquestion,115,86,13
burgundi,348,267,35
angelina,273,191,66
broke,3186,1477,1192
pelmeni,127,106,9
jimmi,2971,1678,865
dynam,388,304,41
sauerkraut,1761,1175,241
remors,238,65,145
sear,8186,5871,1096
script,227,97,77
wasser,311,167,89
expect,124914,59968,33803
stall,1757,779,548
leckeren,278,217,24
infus,3679,2946,277
okth,455,136,158
fo,540,396,82
slate,197,136,30
doc,309,225,47
creek,2026,1356,388
grunt,279,85,150
needi,169,109,37
blintz,241,152,35
jampack,205,132,27
hugh,309,216,46
adher,267,119,94
krazi,326,220,62
lunchtim,2971,1966,444
womp,249,77,101
lac,193,131,28
yen,244,174,42
insipid,158,26,98
weit,255,142,69
rabe,233,145,44
which,27989,15850,7068
pepiada,128,108,13
squeal,153,102,26
asshol,706,172,436
lotsa,200,124,24
patrick,1023,668,229
vaughan,549,357,94
whom,173,72,78
minimum,3773,1617,1410
prolli,301,149,74
diamond,2050,1521,323
peek,907,587,185
incorrect,1839,309,1292
forag,224,155,33
buzzer,741,400,181
gleichzeitig,139,75,38
abysm,612,61,468
craft,10852,8621,916
we,62411,36712,15885
spit,2798,737,1667
rio,3416,1789,992
upper,1714,995,386
unnecessarili,415,119,206
combin,25365,18889,2888
wa,33042,16428,10939
warrant,2096,791,749
insomnia,216,155,29
busyi,195,111,42
fundido,1267,848,232
perpetu,257,136,80
amd,351,226,85
eggrol,1794,1057,383
kid,57563,32389,16112
unser,1735,848,539
haven,268,198,32
ounc,3000,1506,963
sadli,9846,2959,4626
mesh,566,335,109
their,8039,5483,1268
banoffe,120,100,4
einzig,499,275,149
carrot,12582,7991,2378
cooli,177,109,26
thu,4334,2501,972
thingth,369,236,58
ob,1404,658,435
pocket,2854,1596,809
plateau,601,455,51
those,3917,2327,834
mealand,113,66,38
goodw,1129,757,174
reservieren,315,261,26
gauc,166,108,30
porcelain,204,105,72
fathom,279,113,127
mozza,277,165,59
hour,139849,74246,42862
thatthi,115,65,37
jager,155,97,28
gleichen,124,65,32
reposado,120,83,16
coin,1322,754,307
nourish,329,226,50
retrouv,267,183,21
streamlin,241,148,42
jeweil,190,125,26
falafel,8435,5967,1277
bd,138,71,23
gall,101,21,72
zip,668,367,189
snoh,297,248,18
scotia,157,116,15
fritter,2724,1987,308
warmth,1195,824,202
fam,850,607,115
civic,141,82,32
marsala,2342,1479,527
con,6436,4230,938
orderedth,248,125,64
retourn,490,325,68
joli,253,174,37
abend,2120,1372,367
supremo,108,85,16
fattoush,275,196,48
melti,962,718,99
downw,136,61,49
shiraz,190,123,25
biteth,216,157,25
farfal,108,64,21
girl,39220,18329,14398
plantat,144,89,25
cityi,137,97,19
nyni,358,234,55
personth,123,60,22
jamaica,465,339,54
prowl,143,73,32
ethnic,2181,1443,349
ceil,6260,3946,1044
moan,379,287,54
patata,479,331,50
teacher,429,284,82
ramsay,2715,1552,652
nen,183,109,37
chipssalsa,250,129,70
luciano,165,139,15
poulet,847,568,121
vegetarianfriendli,162,116,17
drain,1168,272,702
morn,28488,18346,5833
shift,3399,1395,1432
crosscontamin,113,51,46
annoyingli,336,157,101
king,13205,8054,2795
effect,3066,1670,810
whove,293,170,72
achiev,987,611,219
joke,10480,4053,5222
quartet,109,75,4
intern,1888,1175,374
coney,956,690,139
halloumi,204,147,24
itali,4955,3895,566
sylvia,129,70,37
tweak,876,458,138
jicama,595,446,55
vacat,5606,3955,1046
morningth,103,66,16
upset,7427,1691,4690
some,6822,4289,1350
badw,168,43,77
pk,135,121,11
spanish,5720,3685,1228
loungi,144,110,14
stockyard,348,255,51
inhous,1876,1425,190
ox,1129,834,107
mandarin,2188,1202,502
goug,420,124,212
candl,3527,2344,605
pip,252,165,38
dor,115,70,19
nico,165,124,23
detach,123,57,35
buff,300,182,54
sieh,114,74,13
uncar,230,17,190
capriotti,1097,697,256
twoth,143,74,28
plaisir,178,148,12
nelli,319,211,70
gamework,187,66,79
crabbi,416,230,105
scenic,260,182,36
charcoal,1261,689,368
citru,3101,2307,307
vou,3264,2463,278
wiener,444,288,84
dguster,112,93,6
permit,816,542,139
violin,104,67,22
sex,870,569,172
carribean,250,175,30
artisan,1514,1129,165
gawk,214,120,47
burrata,1695,1308,175
ting,484,309,82
greatit,221,154,25
crme,1833,1340,182
russian,1754,1229,237
chihuahua,179,128,26
starch,1155,612,300
weiner,153,94,30
tuscan,1033,746,126
rectangular,475,286,89
condescend,1196,143,917
employ,1285,589,530
voller,108,52,28
hardli,7667,2425,3670
whichev,413,288,58
morgen,105,64,25
panic,260,146,71
playlist,437,324,51
predinn,309,213,38
pix,126,87,20
frhstck,416,221,95
pari,4304,2947,719
greeneri,272,189,26
textbook,161,108,26
doori,141,77,40
stripi,160,117,19
overview,186,133,25
themmi,154,81,43
buta,234,173,19
overlap,131,83,22
har,1052,583,232
ihr,692,317,252
goodin,110,69,17
deelish,313,276,5
enriqu,125,115,4
properli,7074,2543,3278
steal,3838,2764,611
windsor,492,382,66
bucco,836,617,102
allerd,1432,669,329
baci,145,99,26
disappointi,102,90,4
freeway,668,459,105
blackout,154,85,45
charleston,1035,697,184
babaganoush,295,224,27
vampir,294,208,45
jello,702,376,180
roof,1762,1018,387
arroz,592,457,67
appropri,5303,3009,1268
reasonablypr,210,166,10
dumpi,324,181,94
chima,162,98,41
passion,5151,4282,450
fierc,188,115,35
awayi,309,130,127
sofrita,110,77,21
rito,217,170,24
dorado,381,308,39
yaki,602,418,74
goodwhen,126,72,30
binkley,311,209,65
wasth,355,196,106
napa,799,576,122
spilt,313,159,111
fade,787,295,296
riceit,110,69,19
ann,803,533,140
terr,256,186,26
bail,250,96,106
glu,192,72,82
dough,10174,6071,2327
vicki,254,213,26
mexicanamerican,117,74,19
meld,603,463,45
chipotl,15674,9528,3499
meager,481,130,235
le,30009,20042,3936
great,703472,566470,59250
homini,191,112,41
firsttim,519,390,58
dent,3185,2041,474
index,150,83,44
lube,178,94,43
ticoz,233,157,35
togetheri,118,71,30
coffeehous,271,217,22
mitnehmen,173,118,25
tiger,1829,1354,210
pozol,461,329,67
flower,3096,2302,363
pnc,150,93,28
freitag,144,90,21
beth,512,325,94
herzlich,161,144,9
rasberri,174,124,29
parm,4991,3218,1005
rind,711,462,114
dream,6910,5828,501
cabinet,289,153,82
koma,185,142,23
wife,60640,37203,15874
sui,1758,1133,287
pollo,3663,2501,612
cardin,582,281,191
unexcit,198,39,90
pizzaand,120,77,29
poster,1681,962,375
ashevil,150,90,36
summerlici,1651,772,444
boulevard,566,400,83
erwhnt,103,53,25
backit,166,82,53
mail,1521,779,506
colonel,107,70,19
blur,186,134,20
floyd,137,106,16
reserviert,500,262,141
fllt,129,81,28
kraut,497,330,78
sahen,107,39,39
quicklyi,184,110,28
smoothli,972,668,132
pin,1024,578,260
concours,330,171,85
zing,899,607,111
shenanigan,231,160,34
orderd,275,126,110
bap,437,302,45
hero,1417,826,299
sharpi,125,70,31
moistur,804,364,244
soleil,365,256,35
damag,943,399,383
freak,5894,3823,1369
hemp,204,163,19
armi,524,332,101
ailleur,138,64,38
wantth,107,78,14
listen,8161,3950,2991
griller,124,79,16
protein,7585,5109,1115
underr,585,534,16
bead,302,201,47
workshop,118,86,13
adjust,2833,1372,901
stevia,131,100,19
petal,382,281,41
sweetheart,1045,821,135
cheesecak,15623,10447,2260
solidli,378,203,50
urgenc,580,127,328
nikki,278,220,35
summertim,452,335,38
menu,315691,201017,59545
faster,3739,1915,1043
sowa,151,53,71
hoopla,167,65,60
geograph,162,108,27
lettuc,26676,12955,8559
qq,154,108,23
tagin,270,183,38
cote,262,190,32
rodney,259,197,42
at,14088,8020,3590
noodlecat,192,87,57
ki,183,106,26
ambienc,14396,10085,1792
tablew,280,121,97
vier,239,136,54
swivel,108,54,21
wildli,432,208,131
restaurantbar,635,388,134
coffeeshop,159,111,16
difficulti,1034,537,279
regelmig,160,119,19
laidback,817,650,43
soba,1501,1018,196
summar,400,149,165
moosehead,110,60,22
regardless,5690,3321,1406
ship,1535,925,388
sailor,178,109,28
teacoffe,113,74,15
coax,132,78,34
theft,129,19,101
xxx,150,99,26
fusion,7046,4909,908
wakam,223,134,46
sea,13233,9615,1715
guitar,999,730,120
rereview,108,51,17
blue,20042,13182,3485
caramba,103,52,30
biriyani,467,253,160
mega,808,517,130
marbl,1711,1204,248
beast,886,658,78
ponder,423,247,101
mumbai,117,94,17
shawerma,295,194,48
correctli,4289,1904,1615
auberg,129,97,16
lateli,464,352,48
free,68438,43694,14037
stadt,308,233,32
meal,220957,133301,52449
hotcold,119,80,14
fring,299,186,53
yr,2671,1533,849
particulir,175,104,27
platei,210,118,53
recipi,130,75,37
tod,214,167,17
frage,245,103,89
drench,3617,1317,1521
orderw,272,115,115
nightmar,1874,598,960
dann,3867,1571,1436
laveen,137,80,48
homework,428,278,79
gimmick,844,381,260
bowti,158,103,28
bryan,429,353,46
exactli,22635,14177,4389
fanfar,159,95,25
thermostat,150,41,65
vegasit,151,109,15
grandios,105,68,12
hibachi,4426,2610,1029
fest,1033,661,174
alloc,108,57,26
aha,112,62,24
starter,10791,7317,1710
bocc,168,123,16
jeez,261,107,110
samuel,132,87,31
poker,1616,934,350
power,4642,2813,1089
scone,2994,2217,329
kitchen,50326,24547,17750
awayw,159,87,48
speci,153,88,39
takamatsu,106,72,27
ferrari,125,80,22
musttri,791,721,10
beni,116,98,12
smoke,32763,20685,6270
undercook,7425,1353,4633
commerci,2207,1192,608
flan,3018,2294,305
rejoic,263,217,17
wein,946,682,123
surtout,504,349,50
rancid,635,38,537
knnten,120,56,32
loudest,177,65,61
mickey,592,381,121
conscious,115,78,23
sneaki,507,242,156
taxtip,150,92,21
take,187461,99969,57729
nobl,349,255,38
smallest,1667,513,813
queen,6106,3835,1226
lasagn,602,371,125
lock,2199,824,1024
lunchbrunch,144,117,11
picant,301,192,68
rise,1644,1057,309
noon,4760,2738,1207
briefli,690,412,178
silverado,212,149,43
fluffier,158,100,11
vide,265,177,46
handwritten,316,177,94
bridg,974,678,131
flapjack,409,311,39
without,69732,40788,18207
customersi,160,53,80
alexand,329,213,46
ethiopian,2200,1584,291
fa,130,81,19
taker,598,196,304
moin,700,406,103
twilight,228,100,95
den,10141,5723,2409
postrio,115,68,24
futur,12505,7674,2633
soon,39844,26984,8123
vi,159,99,38
michael,3607,2630,508
pasteur,116,71,21
mealthey,102,67,18
hahahaha,126,81,26
canola,111,45,51
wellstock,132,97,10
kim,2880,1960,434
squeaki,286,179,46
compel,1437,686,511
bout,780,390,274
spectrum,512,334,70
clumpi,269,63,156
finden,360,246,64
itaft,149,73,49
voic,3239,1236,1484
dfinitiv,130,99,8
hereand,260,158,63
ausprobieren,117,85,17
radio,1058,543,315
renegad,104,60,30
suit,5944,3606,1221
have,12728,8011,2829
swill,194,78,80
stomp,355,153,143
obnoxi,2532,991,1021
panasian,182,103,27
aburi,270,192,18
gone,28194,11958,11538
florida,1073,757,197
wellbalanc,314,256,15
hall,3186,1869,683
apportez,131,95,12
bait,388,74,262
gordo,936,714,132
devin,540,492,17
si,3084,1935,520
involv,3235,1883,831
vegasi,594,432,81
bouncer,1911,485,1135
tenaya,129,76,27
brighten,402,293,45
vorspeis,807,498,174
cuervo,147,62,54
vibe,23090,16991,2389
strongli,3085,2147,628
minuten,827,263,405
jennif,814,585,149
youw,196,113,56
yeasti,188,118,37
sieht,405,223,93
dealer,623,319,179
skeptic,4120,3466,305
upfront,604,270,221
suchen,128,53,57
shockingli,637,322,225
jorg,130,90,25
jenni,800,545,129
stanley,193,119,43
cooker,315,145,118
cab,3436,2415,561
figur,20334,8611,7883
belong,1794,765,718
heartbeat,996,890,48
davoir,195,119,39
increasingli,345,158,125
steam,16812,10429,3097
wollen,226,96,68
spam,1949,1310,249
bc,6903,3577,1977
eiffel,465,351,63
lawrencevil,481,336,67
about,20543,9155,5896
gibbi,145,119,12
decents,120,79,13
senorita,113,59,33
sie,2448,979,929
methey,158,93,35
preset,352,211,74
goodiv,171,125,15
ron,405,319,58
woodi,515,324,105
camino,107,64,26
cobbleston,134,111,7
goodif,369,264,47
proclaim,737,441,174
linq,631,402,115
hotth,221,117,54
speck,456,242,154
boul,103,82,13
boustan,123,78,25
workday,248,165,34
softshel,405,259,78
sandwich,167738,106426,32801
trivia,1989,1242,312
fter,386,279,49
bah,179,92,54
hoodi,151,80,39
ruben,976,683,166
waiterswaitress,527,297,135
caution,1337,836,278
seclud,553,384,52
fluctuat,166,97,29
fingerl,1039,777,122
ralph,197,131,45
crimini,110,83,7
uhr,781,409,205
ummmm,290,113,136
zb,382,254,58
stoke,997,654,193
fran,669,425,147
trademark,242,142,47
muenster,163,128,15
jacob,435,339,56
cathol,182,123,25
copa,116,61,40
mei,1853,975,479
pina,644,440,93
reu,101,47,38
excellent,535,447,15
patisseri,726,542,71
stuck,9149,3950,3278
wade,165,100,43
quaker,190,115,45
ingredientsi,111,76,20
outdat,1409,544,529
litter,635,257,257
salmon,46981,31062,7940
smudg,131,30,76
path,2283,1701,257
outmi,163,98,39
oo,228,123,66
smoker,1687,953,419
sardin,953,563,219
belt,1885,1117,389
chiu,111,59,17
enviou,157,118,15
gringo,923,539,225
icon,832,542,139
madra,304,218,42
chickenbeef,137,94,21
paw,150,85,37
wrongi,294,133,123
clue,3081,885,1800
geriatr,108,43,46
hidden,14250,12308,869
traci,316,249,43
sandwichit,122,76,16
kosten,156,100,30
widow,202,159,23
hair,11035,3092,6443
cheescak,155,112,24
trout,3126,2211,415
drummer,109,64,27
daytim,571,344,108
inexperienc,852,165,504
bicycl,386,276,48
sandwichesi,108,70,18
todd,774,533,137
boo,1384,634,452
cte,119,87,12
kale,6077,4465,730
live,75667,52977,12477
tapioca,1496,908,256
insincer,158,23,114
lewi,111,69,21
pastel,397,283,65
bonefish,397,234,96
shut,3053,1082,1622
alfalfa,146,92,22
antioxid,113,90,9
toothpick,334,154,112
awhil,9478,4967,2496
auto,588,315,164
friesi,379,222,77
lay,2245,1145,703
dryer,424,189,141
seater,385,204,107
ar,111,59,29
eloqu,149,116,15
strap,263,141,80
there,151468,83813,40753
hugei,101,71,4
bode,183,70,60
gote,105,48,35
hacienda,277,149,76
meant,7084,3651,1993
explos,1664,1336,161
sach,133,85,29
threestar,158,35,19
wrongth,302,150,114
absolutley,109,80,22
hatten,2176,1150,615
grumpi,1248,489,488
particular,11531,6493,2823
blink,651,452,108
rw,236,142,47
guidanc,325,211,61
discern,904,379,323
thatbut,161,71,55
outback,1945,837,750
select,101343,71802,11573
douchebag,393,164,163
pinevil,174,118,35
scum,102,22,74
unoffici,157,102,19
omnivor,424,349,33
chai,3212,2331,380
recogn,3459,2206,792
experi,183064,104824,51665
probiert,291,206,46
hunan,662,403,153
fresh,207813,160130,22404
ra,1375,749,347
hottest,993,669,142
savour,414,343,23
dingi,1401,542,561
merg,205,132,39
alor,595,336,132
sociabl,231,176,19
sigh,2000,658,965
hoop,233,125,70
charburg,109,76,9
reichhaltig,121,97,7
lent,656,391,112
decis,6584,4118,1558
favorito,118,77,32
pad,22417,14435,4188
data,141,69,40
shed,1978,720,909
incom,394,136,172
mussl,157,109,33
munchi,1309,889,159
brine,664,420,146
cramp,4786,2604,1097
chilean,1483,1150,152
liken,202,128,42
nephew,1209,669,322
bai,102,65,23
luc,137,86,26
asset,464,378,42
dropout,567,375,94
herb,7509,5445,904
indigest,201,54,117
gent,427,282,86
raymond,151,119,20
logan,271,138,99
arrog,1434,423,817
contract,389,115,230
pescatarian,264,196,38
atl,278,226,31
furikak,597,497,30
familyown,641,541,39
badbut,170,42,67
ellen,107,89,11
hors,1911,1257,352
justic,1439,1084,192
tremont,809,575,135
yep,2047,1250,484
relief,707,482,112
crystal,1415,952,238
fret,244,191,21
kati,595,441,96
samurai,377,252,63
character,125,87,19
zutaten,513,377,59
seventh,110,69,28
knack,251,180,33
suffer,2801,1163,1025
baskin,140,77,37
habenero,241,181,23
aoki,116,45,23
bueno,1055,488,358
unimagin,265,71,143
gift,7739,3905,2619
restur,2276,1343,660
washer,111,40,55
raleigh,156,119,14
els,73200,33561,25929
binder,169,99,37
packer,351,222,65
warrior,257,184,40
vinagrett,243,180,29
festiv,3356,2264,515
wasnt,7463,2543,3170
execut,7019,3971,1680
optionsth,252,168,29
distil,176,110,42
fazit,437,203,140
weder,219,54,114
intro,237,175,34
neighbourhood,4342,2872,630
poke,7233,5446,809
letzter,159,78,46
baconwrap,534,400,50
schlecht,789,162,428
intestin,663,354,165
decentth,213,67,76
doll,720,518,99
cheapth,130,66,37
fighter,169,111,24
romesco,158,112,18
placeon,129,74,29
workout,962,664,128
tte,183,101,38
fromth,198,129,37
penn,4414,2690,895
sparerib,317,188,68
didi,325,223,68
lv,4259,3032,617
toppingsth,110,78,12
garner,323,172,72
retir,917,495,288
state,18980,8578,7526
perus,1753,1143,285
quinoa,3462,2572,394
fancier,1167,758,141
rum,2859,1964,403
tobiko,399,277,44
therea,142,88,26
necess,385,243,78
gabi,1229,970,119
marrow,3901,2955,348
taziki,192,123,39
seatedth,140,70,36
gestur,1823,901,627
philip,133,92,23
famou,9545,6155,1725
thier,919,564,249
topper,447,279,110
medina,299,215,49
bother,16355,4827,8658
mistak,14635,4384,8147
salam,103,79,11
juicer,214,128,41
kinoko,107,89,10
ipad,2537,1458,560
ecstat,596,441,79
yuk,545,125,352
won,444,280,83
zest,713,501,82
itbut,465,241,122
taster,499,343,74
sphere,201,167,19
chae,247,173,30
grudgingli,120,24,82
sidenot,223,138,39
cuisson,111,61,16
applic,368,187,115
greekmediterranean,102,74,15
weird,19335,7902,6692
earn,4754,2472,1552
dishth,624,384,101
timeit,323,188,65
coconut,15317,11475,1578
tenant,247,123,58
top,152797,101538,28241
havarti,424,329,24
wrden,192,73,71
cedar,497,374,70
nuclear,165,88,52
didth,351,288,35
lab,454,315,77
bradi,167,138,17
eggi,572,337,106
oph,142,98,29
bratkartoffeln,153,96,29
disc,285,159,84
southwest,2970,2131,392
napoli,593,405,121
td,134,89,16
chirp,115,70,29
hmm,1371,565,457
starsth,842,364,174
jedem,346,239,70
threw,6805,1785,4100
greas,6909,2232,3453
where,4062,1673,1592
bell,10214,5303,3216
sayin,480,241,134
robert,975,664,219
unopen,107,34,56
therew,392,214,103
downtown,25751,18256,3529
looooov,209,175,12
sushiya,110,76,15
juliu,153,89,30
drop,20571,9532,7243
thank,55087,39288,10901
durchschnittlich,214,58,81
dear,2052,1243,554
museum,1163,868,138
illi,358,252,39
beefsteak,142,91,30
refuel,165,120,12
alacart,236,143,39
wrigley,105,66,25
squash,6304,4616,758
navi,227,156,33
jedenfal,260,134,76
confit,3414,2561,330
click,661,335,204
debitcredit,177,72,62
swipe,788,236,402
gefallen,239,172,29
memori,6974,4481,1412
wei,1773,868,564
happili,4299,3230,528
aint,3268,1747,850
tater,3558,2281,563
hid,230,77,105
attribut,759,378,192
rita,523,337,93
yank,157,56,80
payment,1835,560,929
bothersom,311,182,63
day,156910,98035,34557
grad,450,302,81
laval,235,159,40
superfood,162,112,17
left,77084,29186,35702
wrong,55563,24691,21943
waltz,139,94,26
eglinton,547,308,130
easygo,248,180,38
restrict,1918,1200,443
relax,19504,15965,1285
drawer,355,146,151
prioriti,1431,583,604
flair,1664,1223,161
